chi,theta_deg,Re,CL_available,CM_available,Euler_coefficient_pair_available
0.5,15.0,40000.0,True,True,True
0.5,15.0,60000.0,True,True,True
0.5,15.0,80000.0,True,True,True
0.5,15.0,100000.0,True,True,True
0.5,15.0,150000.0,True,True,True
0.5,15.0,200000.0,True,True,True
0.5,15.0,250000.0,True,True,True
0.5,15.0,300000.0,True,True,True
0.5,15.0,350000.0,True,True,True
0.5,15.0,400000.0,True,True,True
0.5,30.0,40000.0,True,True,True
0.5,30.0,60000.0,True,True,True
0.5,30.0,80000.0,True,True,True
0.5,30.0,100000.0,True,True,True
0.5,30.0,150000.0,True,True,True
0.5,30.0,200000.0,True,True,True
0.5,30.0,250000.0,True,True,True
0.5,30.0,300000.0,True,True,True
0.5,30.0,350000.0,True,True,True
0.5,30.0,400000.0,True,True,True
0.5,45.0,40000.0,True,True,True
0.5,45.0,60000.0,True,True,True
0.5,45.0,80000.0,True,True,True
0.5,45.0,100000.0,True,True,True
0.5,45.0,150000.0,True,True,True
0.5,45.0,200000.0,True,True,True
0.5,45.0,250000.0,True,True,True
0.5,45.0,300000.0,True,True,True
0.5,45.0,350000.0,True,True,True
0.5,45.0,400000.0,True,True,True
0.5,60.0,40000.0,True,True,True
0.5,60.0,60000.0,True,True,True
0.5,60.0,80000.0,True,True,True
0.5,60.0,100000.0,True,True,True
0.5,60.0,150000.0,True,True,True
0.5,60.0,200000.0,True,True,True
0.5,60.0,250000.0,True,True,True
0.5,60.0,300000.0,True,True,True
0.5,60.0,350000.0,True,True,True
0.5,60.0,400000.0,True,True,True
0.5,75.0,40000.0,True,True,True
0.5,75.0,60000.0,True,True,True
0.5,75.0,80000.0,True,True,True
0.5,75.0,100000.0,True,True,True
0.5,75.0,150000.0,True,True,True
0.5,75.0,200000.0,True,True,True
0.5,75.0,250000.0,True,True,True
0.5,75.0,300000.0,True,True,True
0.5,75.0,350000.0,True,True,True
0.5,75.0,400000.0,True,True,True
