Dmax_m,Re_impact,V_impact_mps,diameter_in,impact_time_s,impact_x_mps,impact_z_mps,model,psi_impact,release_height_m,status,wind_mps
0.0254,nan,19.416583153388263,1.0,6.509563980318854,0.0,-19.416583153388263,Model 2,0.9205792804799058,100.0,supported,0.0
0.0254,nan,37.5550710163909,1.0,6.863602233957004,32.18665666634107,-19.34948298247902,Model 3,0.9205792804799058,100.0,sensitivity,33.3
0.0254,nan,19.471891593114055,1.0,14.215788945971173,0.0,-19.471891593114055,Model 2,0.9205792804799058,250.0,supported,0.0
0.0254,nan,38.56301973053854,1.0,14.51386047075081,33.27535643940691,-19.489924180671558,Model 3,0.9205792804799058,250.0,sensitivity,33.3
0.0254,nan,19.471915206103976,1.0,27.054794292915854,0.0,-19.471915206103976,Model 2,0.9205792804799058,500.0,supported,0.0
0.0254,nan,38.58430912731243,1.0,27.128691014463833,33.29995137154847,-19.490052577777014,Model 3,0.9205792804799058,500.0,sensitivity,33.3
0.0254,nan,19.471915206161196,1.0,52.732802578503,0.0,-19.471915206161196,Model 2,0.9205792804799058,1000.0,supported,0.0
0.0254,nan,38.58435091960789,1.0,51.90322920486387,33.29999999970427,-19.490052229461625,Model 3,0.9205792804799058,1000.0,sensitivity,33.3
0.0254,nan,19.471915206161196,1.0,155.44483572084258,0.0,-19.471915206161196,Model 2,0.9205792804799058,3000.0,supported,0.0
0.0254,nan,38.58435107028404,1.0,145.07677860801547,33.29999999999986,-19.490052527249347,Model 3,0.9205792804799058,3000.0,sensitivity,33.3
0.0254,nan,19.471915206161196,1.0,258.1568688631852,0.0,-19.471915206161196,Model 2,0.9205792804799058,5000.0,supported,0.0
0.0254,nan,38.58435094083585,1.0,229.14549881041822,33.29999999999986,-19.490052270981458,Model 3,0.9205792804799058,5000.0,sensitivity,33.3
0.0254,nan,19.471915206161196,1.0,360.8689020055197,0.0,-19.471915206161196,Model 2,0.9205792804799058,7000.0,supported,0.0
0.0254,nan,38.584350931147775,1.0,304.6065335453841,33.29999999999986,-19.490052251802027,Model 3,0.9205792804799058,7000.0,sensitivity,33.3
0.0254,nan,19.471915206161196,1.0,514.9369517190786,0.0,-19.471915206161196,Model 2,0.9205792804799058,10000.0,supported,0.0
0.0254,nan,38.58435085498431,1.0,402.73938120503396,33.29999999999986,-19.490052101021618,Model 3,0.9205792804799058,10000.0,sensitivity,33.3
0.03175,nan,21.316545771198953,1.25,6.167478648057357,0.0,-21.316545771198953,Model 2,0.8952624927693241,100.0,supported,0.0
0.03175,nan,37.87582568863267,1.25,6.524872891205049,31.415695815852743,-21.157320907938676,Model 3,0.8952624927693241,100.0,sensitivity,33.3
0.03175,nan,21.469176900886776,1.25,13.161951394328085,0.0,-21.469176900886776,Model 2,0.8952624927693241,250.0,supported,0.0
0.03175,nan,39.564778025018356,1.25,13.475847383813228,33.21804031717442,-21.492637289442875,Model 3,0.8952624927693241,250.0,sensitivity,33.3
0.03175,nan,21.4694344559215,1.25,24.806425885318276,0.0,-21.4694344559215,Model 2,0.8952624927693241,500.0,supported,0.0
0.03175,nan,39.63381512604687,1.25,24.917825695175033,33.29951112873051,-21.49376328224573,Model 3,0.8952624927693241,500.0,sensitivity,33.3
0.03175,nan,21.469434462101116,1.25,48.095348604236996,0.0,-21.469434462101116,Model 2,0.8952624927693241,1000.0,supported,0.0
0.03175,nan,39.63422587649964,1.25,47.388874507470995,33.299999974898874,-21.49376333965573,Model 3,0.8952624927693241,1000.0,sensitivity,33.3
0.03175,nan,21.469434462101116,1.25,141.2510394786515,0.0,-21.469434462101116,Model 2,0.8952624927693241,3000.0,supported,0.0
0.03175,nan,39.634225953175175,1.25,131.89941978148252,33.29999999999984,-21.493763442155842,Model 3,0.8952624927693241,3000.0,sensitivity,33.3
0.03175,nan,21.469434462101116,1.25,234.4067303530778,0.0,-21.469434462101116,Model 2,0.8952624927693241,5000.0,supported,0.0
0.03175,nan,39.63422594598837,1.25,208.15179402043208,33.29999999999985,-21.493763428903463,Model 3,0.8952624927693241,5000.0,sensitivity,33.3
0.03175,nan,21.469434462101116,1.25,327.56242122745795,0.0,-21.469434462101116,Model 2,0.8952624927693241,7000.0,supported,0.0
0.03175,nan,39.63422585604432,1.25,276.5968919563901,33.29999999999985,-21.493763263047768,Model 3,0.8952624927693241,7000.0,sensitivity,33.3
0.03175,nan,21.469434462101116,1.25,467.29595753912776,0.0,-21.469434462101116,Model 2,0.8952624927693241,10000.0,supported,0.0
0.03175,nan,39.63422586131406,1.25,365.6062459360913,33.29999999999984,-21.493763272765115,Model 3,0.8952624927693241,10000.0,sensitivity,33.3
0.038099999999999995,nan,22.865258574491424,1.5,5.938453425979243,0.0,-22.865258574491424,Model 2,0.8686932722662523,100.0,supported,0.0
0.038099999999999995,nan,38.05781908591125,1.5,6.294193326743197,30.62208376286325,-22.598353470908833,Model 3,0.8686932722662523,100.0,sensitivity,33.3
0.038099999999999995,nan,23.165723517787896,1.5,12.428558156867185,0.0,-23.165723517787896,Model 2,0.8686932722662523,250.0,supported,0.0
0.038099999999999995,nan,40.43232149594093,1.5,12.752844134788795,33.11889027387754,-23.192924105812676,Model 3,0.8686932722662523,250.0,sensitivity,33.3
0.038099999999999995,nan,23.166971226745034,1.5,23.21984675040585,0.0,-23.166971226745034,Model 2,0.8686932722662523,500.0,supported,0.0
0.038099999999999995,nan,40.58162702637963,1.5,23.35729183499506,33.297771865616085,-23.197561097959664,Model 3,0.8686932722662523,500.0,sensitivity,33.3
0.038099999999999995,nan,23.166971361166347,1.5,44.80229671177195,0.0,-23.166971361166347,Model 2,0.8686932722662523,1000.0,supported,0.0
0.038099999999999995,nan,40.58345556321928,1.5,44.18316984751004,33.299999537869134,-23.1975622906742,Model 3,0.8686932722662523,1000.0,sensitivity,33.3
0.038099999999999995,nan,23.166971361166347,1.5,131.13209652982235,0.0,-23.166971361166347,Model 2,0.8686932722662523,3000.0,supported,0.0
0.038099999999999995,nan,40.583455865117806,1.5,122.50722074872365,33.299999999999834,-23.197562155450214,Model 3,0.8686932722662523,3000.0,sensitivity,33.3
0.038099999999999995,nan,23.166971361166347,1.5,217.46189634789036,0.0,-23.166971361166347,Model 2,0.8686932722662523,5000.0,supported,0.0
0.038099999999999995,nan,40.58345605827541,1.5,193.17905915986503,33.299999999999834,-23.197562493373788,Model 3,0.8686932722662523,5000.0,sensitivity,33.3
0.038099999999999995,nan,23.166971361166347,1.5,303.7916961659129,0.0,-23.166971361166347,Model 2,0.8686932722662523,7000.0,supported,0.0
0.038099999999999995,nan,40.58345595896502,1.5,256.6167857311129,33.299999999999834,-23.197562319633168,Model 3,0.8686932722662523,7000.0,sensitivity,33.3
0.038099999999999995,nan,23.166971361166347,1.5,433.2863958929958,0.0,-23.166971361166347,Model 2,0.8686932722662523,10000.0,supported,0.0
0.038099999999999995,nan,40.583455950854606,1.5,339.1186676625688,33.299999999999834,-23.19756230544423,Model 3,0.8686932722662523,10000.0,sensitivity,33.3
0.044449999999999996,nan,24.13236052124916,1.75,5.776608085207267,0.0,-24.13236052124916,Model 2,0.8410351891391397,100.0,supported,0.0
0.044449999999999996,nan,38.1602180211293,1.75,6.128166487629113,29.862797982353023,-23.757431176061395,Model 3,0.8410351891391397,100.0,sensitivity,33.3
0.044449999999999996,nan,24.617831895265862,1.75,11.893693504211138,0.0,-24.617831895265862,Model 2,0.8410351891391397,250.0,supported,0.0
0.044449999999999996,nan,41.174760190774286,1.75,12.225006528255216,32.98391125945034,-24.645942359676088,Model 3,0.8410351891391397,250.0,sensitivity,33.3
0.044449999999999996,nan,24.62161172179183,1.75,22.047567110607247,0.0,-24.62161172179183,Model 2,0.8410351891391397,500.0,supported,0.0
0.044449999999999996,nan,41.43060770410344,1.75,22.20395938979352,33.29355682980485,-24.65835210130373,Model 3,0.8410351891391397,500.0,sensitivity,33.3
0.044449999999999996,nan,24.621612882877596,1.75,42.354928932759876,0.0,-24.621612882877596,Model 2,0.8410351891391397,1000.0,supported,0.0
0.044449999999999996,nan,41.43578759845885,1.75,41.80061453151031,33.29999646136896,-24.65836023699489,Model 3,0.8410351891391397,1000.0,sensitivity,33.3
0.044449999999999996,nan,24.621612882877663,1.75,123.58437598457752,0.0,-24.621612882877663,Model 2,0.8410351891391397,3000.0,supported,0.0
0.044449999999999996,nan,41.43579071160033,1.75,115.50235602155584,33.29999999999982,-24.65836068954213,Model 3,0.8410351891391397,3000.0,sensitivity,33.3
0.044449999999999996,nan,24.621612882877663,1.75,204.81382303639458,0.0,-24.621612882877663,Model 2,0.8410351891391397,5000.0,supported,0.0
0.044449999999999996,nan,41.43579041213503,1.75,182.00474810146804,33.29999999999982,-24.65836018632206,Model 3,0.8410351891391397,5000.0,sensitivity,33.3
0.044449999999999996,nan,24.621612882877663,1.75,286.0432700882085,0.0,-24.621612882877663,Model 2,0.8410351891391397,7000.0,supported,0.0
0.044449999999999996,nan,41.43579065013615,1.75,241.70142021832453,33.29999999999982,-24.658360586258002,Model 3,0.8410351891391397,7000.0,sensitivity,33.3
0.044449999999999996,nan,24.621612882877663,1.75,407.8874406659711,0.0,-24.621612882877663,Model 2,0.8410351891391397,10000.0,supported,0.0
0.044449999999999996,nan,41.43579088009024,1.75,319.34194235433534,33.29999999999982,-24.65836097267175,Model 3,0.8410351891391397,10000.0,sensitivity,33.3
0.0508,nan,25.170100784745586,2.0,5.658033781849572,0.0,-25.170100784745586,Model 2,0.8124094261626313,100.0,supported,0.0
0.0508,nan,38.21751577306977,2.0,6.004329362655611,29.16699028545476,-24.695448761928265,Model 3,0.8124094261626313,100.0,sensitivity,33.3
0.0508,nan,25.86127812280025,2.0,11.491786847419094,0.0,-25.86127812280025,Model 2,0.8124094261626313,250.0,supported,0.0
0.0508,nan,41.80452649527622,2.0,11.827872788880057,32.82497896450309,-25.887046789353576,Model 3,0.8124094261626313,250.0,sensitivity,33.3
0.0508,nan,25.869782143983368,2.0,21.15600288844848,0.0,-25.869782143983368,Model 2,0.8124094261626313,500.0,supported,0.0
0.0508,nan,42.18307654514295,2.0,21.32659558186569,33.28602288353547,-25.912402964799355,Model 3,0.8124094261626313,500.0,sensitivity,33.3
0.0508,nan,25.86978774050833,2.0,40.48356801565663,0.0,-25.86978774050833,Model 2,0.8124094261626313,1000.0,supported,0.0
0.0508,nan,42.19411618691477,2.0,39.97874234899016,33.299984418484534,-25.912438683449892,Model 3,0.8124094261626313,1000.0,sensitivity,33.3
