diameter_in,model,mass_kg,roof_pitch_deg,vx_impact_mps,vz_impact_mps,V_impact_mps,vn_mps,beta_prescribed,aero_evidence_status,kn_kN_m_p,p,COR,contact_evidence_status,Fn_peak_N,delta_peak_m,dFn_2to3_pct,dFn_3to4_pct,contact_evidence_final
1.0,Model 2,0.0067783948503802,30.0,0.0,-19.4719152061612,19.4719152061612,16.863173228872103,,supported,207.36798110351864,1.4316317322887209,0.0321368267711279,directly_calibrated,675.6993124143196,0.0014632830849585,,,directly_calibrated
1.0,Model 3,0.0067783948503802,30.0,33.29999999970427,-19.490052229461625,38.58435091960789,33.52888035165144,,supported,244.0325367736332,1.5982888035165144,0.0154711196483485,published_analytical_application,1524.2367347091572,0.0027434186018993,125.57914544310482,,published_analytical_application
1.0,Model 4,0.0067783948503802,30.0,33.29999999970427,-19.665462699526778,38.67325203763944,33.680790274817625,0.009,reduced_order_beta,244.3667386045988,1.5998079027481762,0.0153192097251823,published_analytical_application,1534.658510040303,0.0027511603281838,,0.6837373154593822,published_analytical_application
1.25,Model 2,0.0132390524421489,30.0,0.0,-21.46943446210112,21.46943446210112,18.593075649064662,,supported,211.17376642794227,1.4489307564906466,0.0304069243509353,directly_calibrated,1113.983288168576,0.0021228086423759,,,directly_calibrated
1.25,Model 3,0.0132390524421489,30.0,33.299999974898874,-21.49376333965573,39.63422587649964,35.26414506252195,,supported,247.8501191375483,1.6156414506252197,0.013735854937478,published_analytical_application,2494.035106594686,0.003646889362809,123.88442744908316,,published_analytical_application
1.25,Model 4,0.0132390524421489,30.0,33.299999974898874,-21.7015363852724,39.7472851879165,35.44408179824765,0.0096666666666666,reduced_order_beta,248.24597995614485,1.6174408179824764,0.0135559182017523,published_analytical_application,2515.379806851128,0.0036554767575333,,0.8558299841089799,published_analytical_application
1.5,Model 2,0.0228770826200333,30.0,0.0,-23.166971361166347,23.166971361166347,20.06318572751661,,supported,214.40800860053656,1.463631857275166,0.0289368142724833,directly_calibrated,1676.3084558531928,0.0028558485841116,,,directly_calibrated
1.5,Model 3,0.0228770826200333,30.0,33.299999537869134,-23.1975622906742,40.58345556321928,36.73967801853036,,supported,251.0962916407668,1.6303967801853034,0.0122603219814696,published_analytical_application,3758.563331874812,0.0045647605392577,124.21668987894064,,published_analytical_application
1.5,Model 4,0.0228770826200333,30.0,33.299999537869134,-23.437270434344494,40.72094810579296,36.94727136044284,0.0103333333333333,reduced_order_beta,251.55299699297427,1.6324727136044284,0.0120527286395571,published_analytical_application,3797.9547753801794,0.0045722496482174,,1.0480452243894651,published_analytical_application
1.75,Model 2,0.0363279599012566,30.0,0.0,-24.6216128828776,24.6216128828776,21.322942238718213,,supported,217.17947292518008,1.476229422387182,0.0276770577612817,directly_calibrated,2366.573031069841,0.0036472596881789,,,directly_calibrated
1.75,Model 3,0.0363279599012566,30.0,33.29999646136896,-24.65836023699489,41.43578759845885,38.004764611590126,,supported,253.8794821454983,1.6430476461159012,0.0109952353884098,published_analytical_application,5345.74170813131,0.0054799949952695,125.88534720666094,,published_analytical_application
1.75,Model 4,0.0363279599012566,30.0,33.29999646136896,-24.92960219960183,41.59777434139449,38.23966704178008,0.011,reduced_order_beta,254.3962674919162,1.645396670417801,0.0107603329582199,published_analytical_application,5413.254461262597,0.0054836650633924,,1.2629258355037047,published_analytical_application
2.0,Model 2,0.054227158803042,30.0,0.0,-25.86978774050833,25.86978774050833,22.403893373791448,,supported,219.5575654223412,1.4870389337379144,0.0265961066262085,directly_calibrated,3186.190327514676,0.0044840839671633,,,directly_calibrated
2.0,Model 3,0.054227158803042,30.0,33.299984418484534,-25.91243868344989,42.19411618691477,39.09082238311646,,supported,256.2688092428562,1.6539082238311646,0.0099091776168835,published_analytical_application,7280.088246573796,0.0063811156778491,128.4888063247773,,published_analytical_application
2.0,Model 4,0.054227158803042,30.0,33.299984418484534,-26.214750468090138,42.380444834564265,39.35263206847833,0.0116666666666666,reduced_order_beta,256.8447905506523,1.6565263206847831,0.0096473679315216,published_analytical_application,7389.441255455867,0.0063775115674485,,1.5020835624284528,published_analytical_application
2.5,Model 2,0.1059124195371915,30.0,0.0,-27.838500145345108,27.838500145345108,24.108848329125653,,extrapolative,223.30846632407645,1.5040884832912564,0.0248911516708743,directly_calibrated,5205.589438177284,0.0062507972513558,,,directly_calibrated
