model,mu,Ft_min_N,Ft_max_N
Model 3,0.1,152.42367347091573,728.0088246573796
Model 3,0.2,304.84734694183146,1456.0176493147592
Model 3,0.4,609.6946938836629,2912.0352986295184
Model 3,0.6,914.5420408254944,4368.052947944278
Model 3,0.8,1219.3893877673258,5824.070597259037
Model 4,0.1,153.46585100403033,738.9441255455868
Model 4,0.2,306.93170200806065,1477.8882510911735
Model 4,0.4,613.8634040161213,2955.776502182347
Model 4,0.6,920.7951060241818,4433.66475327352
Model 4,0.8,1227.7268080322426,5911.553004364694
