wind_speed_mps,direction,roof_pitch_deg,n_cases,dFn_min_pct,dFn_max_pct,dFn_mean_pct,dVt_min_pct,dVt_max_pct,dVt_mean_pct
10.0,against_pitch_uphill,15.0,8,0.8747849053550418,2.148630575316923,1.4416116800862495,-5.877420409673935,-0.9837688284493964,-2.9638382167945077
10.0,against_pitch_uphill,30.0,8,0.7722667911901163,1.922486815674009,1.2896934269810427,3.4299725625796063,8.085130834137232,4.361718209236176
10.0,against_pitch_uphill,45.0,8,0.6527962648124939,1.5860955773606589,1.0790501793119762,1.8077648504909143,2.2601716047043325,1.960875874364531
10.0,with_pitch_downhill,15.0,8,1.099622863079636,2.225212163243318,1.594075052876367,0.30876384255122746,0.6651253481401255,0.4781104750256747
10.0,with_pitch_downhill,30.0,8,1.3274459910105003,2.2730821097037213,1.7277770880313923,0.47652213883416367,0.9478392395897546,0.6998741902857715
10.0,with_pitch_downhill,45.0,5,1.978659664636632,2.5556514561361268,2.25228172962904,0.7826163030227932,1.122474226271868,0.9544081847302325
20.0,against_pitch_uphill,15.0,8,0.8113340344176,2.1960202310365875,1.4245474304287749,-0.9930900834299304,-0.31805513236324107,-0.6288498804261455
20.0,against_pitch_uphill,30.0,8,0.6878830815399062,2.0384957863910085,1.2871146029733276,-9.085520362175702,-1.1577512365401506,-4.157775162016696
20.0,against_pitch_uphill,45.0,8,0.55423085050148,1.6377939116569467,1.0424274938923668,-34.39773953841308,13.909846810513038,1.4563835274385442
20.0,with_pitch_downhill,15.0,8,1.2931863288461087,2.342074854906263,1.74096846279211,0.1863470518360678,0.42729722901461836,0.3007304503581698
20.0,with_pitch_downhill,30.0,6,2.1814351980014193,2.818772356261543,2.4444040402435427,0.41442999081285853,0.6928093299299884,0.5500064286117378
33.3,against_pitch_uphill,15.0,8,0.7617613627220324,2.3916161896081096,1.4711826463654425,-0.47171389695777916,-0.16739678479157336,-0.309445034757744
33.3,against_pitch_uphill,30.0,5,0.6837373154595842,1.5021271090374255,1.0705322132334678,-0.9517458714242625,-0.45934315131810965,-0.7003990582437227
33.3,against_pitch_uphill,45.0,2,0.6153488740298526,0.7930012748552459,0.7041750744425492,-1.7599190717913167,-1.2701747536157577,-1.515046912703537
33.3,with_pitch_downhill,15.0,8,1.7225309776835693,2.594078724406309,2.049833720020405,0.12200995374738284,0.28958123796355373,0.20143701232451497
