status,D_in,gamma0_deg,gamma_impact_deg,omega_impact_rads,V_impact_mps,theta_last,Re_last,note
not_solved,1.0,-15,,,,-75.58366636318928,50649.32955876683,"Unsupported List state Re=50649.3 theta=-75.583666 status=('interpolated_2d_within_measured_slices', 'unsupported_parameter_combination', 'unsupported_parameter_combination')"
not_solved,1.25,-15,,,,-75.05765357109883,63189.01159548051,"Unsupported List state Re=63189 theta=-75.057654 status=('interpolated_2d_within_measured_slices', 'unsupported_parameter_combination', 'unsupported_parameter_combination')"
not_solved,1.5,-15,,,,-75.48337478482593,75741.46720030544,"Unsupported List state Re=75741.5 theta=-75.483375 status=('interpolated_2d_within_measured_slices', 'unsupported_parameter_combination', 'unsupported_parameter_combination')"
not_solved,1.75,-15,,,,-76.28477520561724,88372.1846793276,"Unsupported List state Re=88372.2 theta=-76.284775 status=('interpolated_2d_within_measured_slices', 'unsupported_parameter_combination', 'unsupported_parameter_combination')"
not_solved,2.0,-15,,,,-75.85302881328862,101100.38011469395,"Unsupported List state Re=101100 theta=-75.853029 status=('interpolated_2d_within_measured_slices', 'unsupported_parameter_combination', 'unsupported_parameter_combination')"
not_solved,2.5,-15,,,,-75.07180506821389,126508.62807698095,"Unsupported List state Re=126509 theta=-75.071805 status=('interpolated_2d_within_measured_slices', 'unsupported_parameter_combination', 'unsupported_parameter_combination')"
not_solved,3.0,-15,,,,-75.0181387151726,152000.10748494716,"Unsupported List state Re=152000 theta=-75.018139 status=('interpolated_2d_within_measured_slices', 'unsupported_parameter_combination', 'unsupported_parameter_combination')"
not_solved,3.25,-15,,,,-75.26844776169868,164729.5777520162,"Unsupported List state Re=164730 theta=-75.268448 status=('interpolated_2d_within_measured_slices', 'unsupported_parameter_combination', 'unsupported_parameter_combination')"
not_solved,1.0,-10,,,,80.0,53489.40256147524,"Unsupported List state Re=53489.4 theta=80.000000 status=('interpolated_2d_within_measured_slices', 'unsupported_parameter_combination', 'unsupported_parameter_combination')"
not_solved,1.25,-10,,,,80.0,66861.75320184404,"Unsupported List state Re=66861.8 theta=80.000000 status=('interpolated_2d_within_measured_slices', 'unsupported_parameter_combination', 'unsupported_parameter_combination')"
not_solved,1.5,-10,,,,80.0,80234.10384221285,"Unsupported List state Re=80234.1 theta=80.000000 status=('interpolated_2d_within_measured_slices', 'unsupported_parameter_combination', 'unsupported_parameter_combination')"
not_solved,1.75,-10,,,,80.0,93606.45448258167,"Unsupported List state Re=93606.5 theta=80.000000 status=('interpolated_2d_within_measured_slices', 'unsupported_parameter_combination', 'unsupported_parameter_combination')"
not_solved,2.0,-10,,,,80.0,106978.80512295048,"Unsupported List state Re=106979 theta=80.000000 status=('interpolated_2d_within_measured_slices', 'unsupported_parameter_combination', 'unsupported_parameter_combination')"
not_solved,2.5,-10,,,,80.0,133723.50640368808,"Unsupported List state Re=133724 theta=80.000000 status=('interpolated_2d_within_measured_slices', 'unsupported_parameter_combination', 'unsupported_parameter_combination')"
not_solved,3.0,-10,,,,80.0,160468.2076844257,"Unsupported List state Re=160468 theta=80.000000 status=('interpolated_2d_within_measured_slices', 'unsupported_parameter_combination', 'unsupported_parameter_combination')"
